City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
223,bitlis,38.5,42.25,-0.34,72,13,3.1,TR,1674456265
224,pedasi,7.5333,-80.0333,22.81,83,7,5.43,PA,1674456265
225,barcelos,41.5388,-8.6151,4.36,70,4,2.36,PT,1674456130
226,suez,29.9737,32.5263,15.63,77,0,4.28,EG,1674456266
227,tangjiazhuang,39.7333,118.45,-7.54,18,14,8.21,CN,1674456267
228,okhotsk,59.3833,143.3,-27.28,85,80,3.33,RU,1674456267
229,marion,39.7684,-86.1555,1.27,90,100,4.12,US,1674456268
230,vysokogornyy,50.1167,139.15,-29.54,95,100,1.33,RU,1674456268
231,mattru,7.6244,-11.8332,21.12,92,16,1.43,SL,1674456268
232,olafsvik,64.8945,-23.7142,2.79,61,100,6.83,IS,1674456269
233,benemerito de las americas,16.5167,-90.6439,21.07,93,96,0.61,MX,1674456269
234,olinda,-8.0089,-34.8553,26.85,74,75,3.09,BR,1674455804
235,along,28.1667,94.7667,23.28,30,25,0.82,IN,1674456270
236,husavik,66.0449,-17.3389,-7.64,72,2,7.46,IS,1674456271
237,tessalit,20.1986,1.0114,16.22,16,0,3.79,ML,1674456271
238,san jeronimo,-11.9472,-75.2829,8.29,84,99,1.52,PE,1674456272
239,lazaro cardenas,17.9583,-102.2,21.08,86,0,2.17,MX,1674456272
240,illela,13.7292,5.2975,20.86,17,0,4.21,NG,1674456273
241,lavrentiya,65.5833,-171.0,-27.73,93,13,5.5,RU,1674456273
242,payson,40.0444,-111.7321,-5.79,88,75,5.14,US,1674456274
243,ngunguru,-35.6167,174.5,19.83,74,34,1.47,NZ,1674456274
244,flagstaff,35.1981,-111.6513,-5.19,87,100,0.0,US,1674456274
245,katsuura,35.1333,140.3,6.01,79,100,2.71,JP,1674456275
246,saint anthony,45.0205,-93.218,-9.06,100,98,1.79,US,1674456275
247,wonthaggi,-38.6044,145.5913,22.93,58,14,6.16,AU,1674456276
248,antigonish,45.6169,-61.9986,-0.36,92,100,4.15,CA,1674456254
249,colon,9.3592,-79.9014,23.03,94,4,0.89,PA,1674456277
250,araouane,18.9048,-3.5265,15.9,16,0,4.66,ML,1674456277
251,touros,-5.1989,-35.4608,25.68,82,7,3.74,BR,1674456278
252,galle,6.0367,80.217,28.57,67,100,2.03,LK,1674456105
253,aswan,24.0934,32.907,14.61,38,0,3.6,EG,1674456278
254,mtsamboro,-12.6998,45.0689,25.62,80,100,9.83,YT,1674456279
255,ndele,8.4109,20.6473,26.32,17,81,3.64,CF,1674456279
256,mwense,-10.3845,28.698,20.1,92,100,1.61,ZM,1674456280
257,kahului,20.8947,-156.47,24.91,73,75,4.12,US,1674456280
258,thompson,55.7435,-97.8558,-18.91,84,100,4.12,CA,1674456140
259,masakin,35.7292,10.5808,5.11,75,20,2.06,TN,1674456281
260,belaya gora,68.5333,146.4167,-44.34,100,99,0.54,RU,1674456281
261,northam,51.0333,-4.2167,4.23,87,100,3.41,GB,1674456282
262,parainen,60.3067,22.301,-1.03,77,97,5.25,FI,1674456282
263,zapolyarnyy,69.4154,30.8136,-3.4,85,69,10.18,RU,1674456283
264,nha trang,12.25,109.1833,29.0,75,52,4.36,VN,1674456283
265,luanda,-8.8368,13.2343,25.86,77,100,0.81,AO,1674456284
266,belle fourche,44.6714,-103.8522,2.4,68,100,7.42,US,1674456284
267,quelimane,-17.8786,36.8883,27.97,78,20,6.17,MZ,1674456285
268,bandarbeyla,9.4942,50.8122,25.86,64,21,8.76,SO,1674456285
269,tiznit,29.5833,-9.5,11.02,43,0,1.64,MA,1674456286
270,ketchikan,55.3422,-131.6461,3.99,93,100,4.12,US,1674456286
271,cintalapa,16.6951,-93.7272,18.95,99,75,1.11,MX,1674456287
272,jesus carranza,17.4333,-95.0333,22.06,92,91,3.75,MX,1674456287
273,ajaccio,42.0,8.9167,4.03,80,0,2.57,FR,1674456288
274,egvekinot,66.3167,-179.1667,-28.78,83,66,5.28,RU,1674456288
275,kucura,45.5195,19.5838,6.71,83,100,6.08,RS,1674456289
276,tunkas,20.9,-88.75,21.16,95,23,0.35,MX,1674456289
277,port blair,11.6667,92.75,29.02,58,40,5.14,IN,1674456290
278,ambovombe,-25.1667,46.0833,28.06,66,100,8.27,MG,1674456290
279,kurchum,48.5722,83.6542,-21.89,83,69,1.98,KZ,1674456079
280,seymchan,62.8833,152.4333,-31.61,98,100,2.33,RU,1674456291
281,kamaishi,39.2667,141.8833,1.11,89,90,3.27,JP,1674456291
282,zhigansk,66.7697,123.3711,-39.33,97,92,1.99,RU,1674456292
283,hualmay,-11.0964,-77.6139,21.07,82,99,2.12,PE,1674456292
284,cherskiy,68.75,161.3,-33.89,93,100,0.76,RU,1674456293
285,ambagarh chauki,20.7833,80.7167,30.4,17,40,2.84,IN,1674456293
286,portland,45.5234,-122.6762,5.45,92,100,0.45,US,1674456202
287,suntar,62.1444,117.6319,-30.08,87,100,5.04,RU,1674456294
288,moron,-34.6534,-58.6198,24.42,68,0,3.08,AR,1674456294
289,pak phanang,8.3511,100.202,32.01,72,51,4.88,TH,1674456295
290,aviles,43.5547,-5.9248,3.54,85,0,3.6,ES,1674456295
291,socorro,31.6546,-106.3033,10.01,27,75,0.0,US,1674456296
292,bonfim,3.0833,-59.95,23.73,78,100,4.11,BR,1674456296
293,norman wells,65.282,-126.8329,-20.98,84,100,1.54,CA,1674456297
294,harer,9.3094,42.1258,20.52,32,41,1.64,ET,1674456297
295,hofn,64.2539,-15.2082,0.82,45,100,4.86,IS,1674456298
296,niquero,20.0431,-77.5828,22.54,82,6,2.04,CU,1674456299
297,la ronge,55.1001,-105.2842,-8.86,73,100,5.66,CA,1674456299
298,eskisehir,39.7767,30.5206,-4.05,93,0,0.0,TR,1674456063
299,zephyrhills,28.2336,-82.1812,20.66,91,100,0.0,US,1674456300
300,agua verde,22.9,-106.05,18.83,81,0,1.4,MX,1674456300
301,dongsheng,39.8161,109.9776,-17.77,48,92,9.28,CN,1674456301
302,port moresby,-9.4431,147.1797,28.68,79,40,5.14,PG,1674456301
303,asau,46.4333,26.4,1.51,93,44,1.11,RO,1674456302
304,emilio carranza,19.9711,-96.6114,19.96,90,100,4.79,MX,1674456302
305,yakeshi,49.2833,120.7333,-31.92,95,100,4.37,CN,1674456303
306,doume,4.2333,13.45,22.08,45,100,0.89,CM,1674456303
307,kijang,35.2442,129.2139,11.85,34,100,3.78,KR,1674456304
308,caruray,10.3094,119.0128,26.91,82,92,4.94,PH,1674456304
309,klaksvik,62.2266,-6.589,6.51,98,100,7.63,FO,1674456305
310,marawi,7.9986,124.2928,20.64,93,100,1.71,PH,1674456305
311,krasnoselkup,65.7,82.4667,-27.06,96,12,4.82,RU,1674456306
312,torbay,47.6666,-52.7314,-3.57,92,0,9.77,CA,1674456304
313,ugoofaaru,5.6667,73.0,26.78,75,15,3.99,MV,1674456306
314,guane,22.2025,-84.0875,22.38,90,9,2.65,CU,1674456307
315,parana,-31.732,-60.5238,25.87,72,72,3.18,AR,1674455945
316,upernavik,72.7868,-56.1549,-24.45,73,100,4.44,GL,1674456308
